Серия_индивид. планировка,Серия_элитка,Серия_106 серия,Серия_хрущевка,Серия_104 серия,Серия_108 серия,Серия_105 серия,Серия_пентхаус,Серия_малосемейка,Серия_сталинка,Серия_107 серия,Отопление_на газе,Отопление_центральное,Отопление_автономное,Отопление_электрическое,Отопление_смешанное,Отопление_на твердом топливе,Отопление_без отопления,Состояние_евроремонт,Состояние_под самоотделку (псо),Состояние_хорошее,Состояние_среднее,Состояние_не достроено,rooms,area,От собственника,year,house_type_кирпичный,house_type_монолитный,house_type_панельный,floor,total_floors,red_book,tech_passport,sale_contract,price_per_sqm
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,204.0,0,2013,1,0,0,10,11,0,0,0,1323.5294117647059
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,67.0,0,2022,0,1,0,2,16,0,0,0,1731.3432835820895
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,81.0,0,2024,1,0,0,10,14,1,1,1,975.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,106.0,1,1998,0,0,1,7,9,1,1,1,1198.1132075471698
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,74.0,1,2024,0,1,0,9,10,0,0,0,1655.4054054054054
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,119.0,0,2025,0,1,0,7,12,1,0,0,1050.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40.78,0,2026,0,1,0,5,10,0,0,0,1000.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64.0,0,2017,1,0,0,7,12,0,0,0,1703.125
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,111.0,0,2023,1,0,0,9,13,0,1,1,1756.7567567567567
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,48.0,0,2023,0,1,0,4,9,1,1,1,1666.6666666666667
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,58.0,0,1975,1,0,0,1,5,1,1,1,1698.2758620689656
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,48.0,0,2022,0,1,0,1,9,0,1,1,1593.75
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,35.0,0,1975,1,0,0,1,4,0,0,0,1914.2857142857142
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,63.0,0,2023,1,0,0,14,14,0,0,0,1666.6666666666667
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,116.0,0,2023,1,0,0,9,17,1,0,0,991.3793103448276
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106.4,0,2015,1,0,0,6,14,0,0,0,2349.624060150376
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,56.0,1,2023,1,0,0,9,12,0,1,1,1696.4285714285713
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,104.24,0,2022,0,1,0,12,16,0,0,0,2004.9884881043747
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,96.0,0,2025,1,0,0,11,17,0,0,0,920.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,65.0,0,2019,0,1,0,4,5,0,0,0,1492.3076923076924
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,41.16,0,2023,0,1,0,6,12,0,0,0,1761.4188532555881
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,2018,1,0,0,7,10,0,0,0,1735.2941176470588
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,125.0,0,2019,1,0,0,7,7,0,1,0,1720.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,48.0,0,1970,1,0,0,4,5,0,0,1,1697.9166666666667
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,42.0,0,1967,1,0,0,1,5,0,0,0,1511.904761904762
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,82.0,0,2024,0,1,0,13,14,1,0,0,780.4878048780488
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,62.0,0,1987,0,0,1,5,9,0,1,0,1346.774193548387
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,131.15,0,2027,0,1,0,2,9,0,0,0,1524.9714067861228
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,43.0,0,1969,1,0,0,1,2,0,1,1,1197.6744186046512
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,64.0,0,2022,0,1,0,10,12,0,0,0,1640.625
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,83.0,0,2026,1,0,0,4,6,0,0,0,1338.6144578313254
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,58.0,0,1975,0,0,1,3,5,0,0,0,1517.2413793103449
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,44.0,1,2021,1,0,0,3,3,1,1,0,1250.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,67.0,0,2023,1,0,0,2,10,0,1,1,1268.6567164179105
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,72.0,0,2023,1,0,0,7,12,0,0,0,1959.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,68.0,1,1979,0,0,1,8,9,0,1,0,1455.8823529411766
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,43.0,0,1975,0,0,1,5,5,0,0,0,1709.3023255813953
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,74.55,0,2025,0,1,0,3,16,0,0,0,1046.277665995976
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,67.0,0,2022,1,0,0,3,9,1,1,0,1238.8059701492537
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,64.0,0,1992,0,0,1,9,9,0,1,1,1226.5625
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.0,0,2019,0,1,0,1,9,0,0,1,1826.923076923077
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,182.0,0,2023,0,1,0,4,5,0,0,0,1600.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,35.0,0,1992,0,0,1,1,9,0,1,0,1614.2857142857142
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,64.0,0,2020,0,1,0,6,10,0,1,1,1718.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58.0,0,1970,0,1,0,2,4,0,0,0,1620.6896551724137
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,103.0,0,2025,0,1,0,12,16,0,0,0,1284.4174757281553
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,51.0,0,2020,0,1,0,8,8,0,0,0,1450.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,62.0,0,2023,1,0,0,13,14,0,0,0,1177.4193548387098
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,72.0,0,1987,0,0,1,6,9,0,1,0,1597.2222222222222
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,50.0,1,2025,0,1,0,5,12,1,0,0,1000.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,142.3,0,2022,0,1,0,9,9,0,0,0,1976.10681658468
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,70.0,1,1997,0,0,1,9,9,0,0,1,1571.4285714285713
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,56.0,0,2019,1,0,0,3,4,0,0,0,892.8571428571429
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,45.39,0,2024,0,1,0,14,16,0,0,0,1211.7206433135052
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,38.0,0,2023,0,1,0,6,12,1,1,1,1973.6842105263158
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,63.0,0,2023,0,1,0,13,13,1,0,0,1563.4920634920634
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48.0,0,1990,0,0,1,5,5,0,0,0,1354.1666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118.0,0,2026,0,1,0,11,18,0,0,0,1300.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,86.0,0,2022,0,1,0,15,16,1,0,0,1662.7906976744187
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,125.0,1,2023,0,1,0,9,12,0,0,0,1960.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,67.0,0,2023,0,1,0,11,13,0,0,0,1074.6268656716418
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,50.0,0,1987,0,0,1,4,5,0,1,0,1680.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,40.0,0,2022,0,1,0,4,16,0,0,0,1812.5
